"Rank","Player","Team","Position","Points","Games","Avg"
"313","Michael Burton","KC","RB","0.0","1","0.0"
"313","C.J. Board","NYG","WR","0.0","1","0.0"
"313","Jaydon Mickens","Multi","WR","0.0","1","0.0"
"313","Derek Watt","PIT","RB","0.0","1","0.0"
"313","Benny Snell Jr.","PIT","RB","0.0","1","0.0"
"313","Darrell Daniels","ARI","TE","0.0","1","0.0"
"313","Zach Pascal","IND","WR","0.0","1","0.0"
"313","Alec Ingold","LV","RB","0.0","1","0.0"
"313","KJ Hill Jr.","LAC","WR","0.0","1","0.0"
"313","Diontae Spencer","DEN","WR","0.0","1","0.0"
"313","Jeremy Sprinkle","DAL","TE","0.0","1","0.0"
"313","MyCole Pruitt","TEN","TE","0.0","1","0.0"
"313","Kylin Hill","GB","RB","0.0","1","0.0"
"313","Marcus Kemp","KC","WR","0.0","1","0.0"
"313","Tylan Wallace","BAL","WR","0.0","1","0.0"
"313","Jake Kumerow","BUF","WR","0.0","1","0.0"
"313","Stanley Morgan Jr.","CIN","WR","0.0","1","0.0"
"313","James Proche II","BAL","WR","0.0","1","0.0"
"313","Jacob Hollister","JAC","TE","0.0","1","0.0"
"313","Drew Sample","CIN","TE","0.0","1","0.0"
"313","Jake Funk","LAR","RB","0.0","1","0.0"
"313","Ben Skowronek","LAR","WR","0.0","1","0.0"
"313","Cameron Batson","TEN","WR","0.0","1","0.0"
"313","Jalen Reagor","PHI","WR","0.0","1","0.0"
"313","Cullen Gillaspia","NYG","RB","0.0","1","0.0"
"313","Ty Long","LAC","K","0.0","1","0.0"
"313","Rashard Higgins","CLE","WR","0.0","1","0.0"
"313","Tutu Atwell","LAR","WR","0.0","1","0.0"
"313","Reggie Gilliam","BUF","RB","0.0","1","0.0"
"313","Laquon Treadwell","JAC","WR","0.0","1","0.0"
"313","Equanimeous St. Brown","GB","WR","0.0","1","0.0"
"377","Colt McCoy","ARI","QB","-0.3","1","-0.3"
"378","John Wolford","LAR","QB","-1.1","1","-1.1"
"379","Cleveland Browns","CLE","DST","-2.0","1","-2.0"
""
""
